,Column Names,,,,
Price List Id Entity Type,Price List Id Entity Type,,,,
Price List Name,Price List Name,,,,
Price Per Unit,Price Per Unit,,,,
Price Per Unit Base,Price Per Unit Base,,,,
Pricing Decimal Precision,Pricing Decimal Precision,,,,
Pricing Error Code,Pricing Error Code,,,,
Pricing Method Code,Pricing Method Code,,,,
Primary Author Id,Primary Author Id,,,,
Primary Author Id Entity Type,Primary Author Id Entity Type,,,,
Primary Author Id Name,Primary Author Id Name,,,,
Primary Contact Id,Primary Contact Id,,,,
Primary Contact Id Entity Type,Primary Contact Id Entity Type,,,,
Primary Contact Id Name,Primary Contact Id Name,,,,
Primary Contact Id Yomi Name,Primary Contact Id Yomi Name,,,,
Primary Contact Name,Primary Contact Name,,,,
Primary Entity,Primary Entity,,,,
Primary Entity Logical Name,Primary Entity Logical Name,,,,
Primary Satori Id,Primary Satori Id,,,,
Primary Twitter Id,Primary Twitter Id,,,,
Primary User Id,Primary User Id,,,,
Primary User Id Entity Type,Primary User Id Entity Type,,,,
Primary User Id Name,Primary User Id Name,,,,
Primary User Id Yomi Name,Primary User Id Yomi Name,,,,
Principal Entity Map Id,Principal Entity Map Id,,,,
Principal Id,Principal Id,,,,
Principal Object Access Id,Principal Object Access Id,,,,
Principal Type Code,Principal Type Code,,,,
Priority,Priority,,,,
Priority Code,Priority Code,,,,
Privacy Statement Url,Privacy Statement Url,,,,
Privilege Depth Mask,Privilege Depth Mask,,,,
Privilege Id,Privilege Id,,,,
Privilege Id Entity Type,Privilege Id Entity Type,,,,
Privilege Object Type Codeid,Privilege Object Type Codeid,,,,
Privilege Object Type Code Row Id,Privilege Object Type Code Row Id,,,,
Privilege Row Id,Privilege Row Id,,,,
Privilege User Group Id,Privilege User Group Id,,,,
Priv Reporting Group Id,Priv Reporting Group Id,,,,
Priv Reporting Group Name,Priv Reporting Group Name,,,,
Process And Delete Emails,Process And Delete Emails,,,,
Processed Times,Processed Times,,,,
Process Email Received After,Process Email Received After,,,,
Process Id,Process Id,,,,
Process Id Entity Type,Process Id Entity Type,,,,
Process Id Name,Process Id Name,,,,
Processing Last Attempt Edon,Processing Last Attempt Edon,,,,
Processing State Code,Processing State Code,,,,
Process Order,Process Order,,,,
Process Role Assignment,Process Role Assignment,,,,
Product Association Id,Product Association Id,,,,
Product Description,Product Description,,,,
Product Id,Product Id,,,,
Product Id Entity Type,Product Id Entity Type,,,,
Product Id Name,Product Id Name,,,,
Product Name,Product Name,,,,
Product Number,Product Number,,,,
Product Price Level Id,Product Price Level Id,,,,
Product Recommendations Enabled,Product Recommendations Enabled,,,,
Product Sales Literature Id,Product Sales Literature Id,,,,
Product Serial Number,Product Serial Number,,,,
Product Structure,Product Structure,,,,
Product Type Code,Product Type Code,,,,
Product Url,Product Url,,,,
Profile Full Name,Profile Full Name,,,,
Profile Item Association Entity Filter,Profile Item Association Entity Filter,,,,
Profile Item Entity Filter,Profile Item Entity Filter,,,,
Profile Item Rule,Profile Item Rule,,,,
Profile Item Rule Entity Type,Profile Item Rule Entity Type,,,,
Profile Item Rule Name,Profile Item Rule Name,,,,
Profile Link,Profile Link,,,,
Profile Name,Profile Name,,,,
Pro Motion Codename,Pro Motion Codename,,,,
Property Configuration Status,Property Configuration Status,,,,
Proposed End,Proposed End,,,,
Proposed Solution,Proposed Solution,,,,
Proposed Start,Proposed Start,,,,
Published On,Published On,,,,
Publisher,Publisher,,,,
Publisher Id,Publisher Id,,,,
Publisher Id Entity Type,Publisher Id Entity Type,,,,
Publisher Id Name,Publisher Id Name,,,,
Publish On,Publish On,,,,
Publish Status Id,Publish Status Id,,,,
Purchase Process,Purchase Process,,,,
Purchase Time Frame,Purchase Time Frame,,,,
Purpose,Purpose,,,,
Pursuit Decision,Pursuit Decision,,,,
Qualification Comments,Qualification Comments,,,,
Qualifying Opportunity Id,Qualifying Opportunity Id,,,,
Qualifying Opportunity Id Entity Type,Qualifying Opportunity Id Entity Type,,,,
Qualifying Opportunity Id Name,Qualifying Opportunity Id Name,,,,
Quantity,Quantity,,,,
Quantity Back Order Ed,Quantity Back Order Ed,,,,
Quantity Cancelled,Quantity Cancelled,,,,
Quantity Decimal,Quantity Decimal,,,,
Quantity Onhand,Quantity Onhand,,,,
Quantity Selling Code,Quantity Selling Code,,,,
Quantity Shipped,Quantity Shipped,,,,
Query,Query,,,,
Query Api,Query Api,,,,
Query App Usage,Query App Usage,,,,
Query Type,Query Type,,,,
Question,Question,,,,
Queue Id,Queue Id,,,,
Queue Id Entity Type,Queue Id Entity Type,,,,
Queue Id Name,Queue Id Name,,,,
Queue Item Id,Queue Item Id,,,,
Queue Membership Id,Queue Membership Id,,,,
Queue Type Code,Queue Type Code,,,,
Queue View Type,Queue View Type,,,,
Quick Find Record Limit Enabled,Quick Find Record Limit Enabled,,,,
Quote Comments,Quote Comments,,,,
Quote Detail Id,Quote Detail Id,,,,
Quote Detail Id Entity Type,Quote Detail Id Entity Type,,,,
Quote Detail Id Name,Quote Detail Id Name,,,,
Quote Detail Name,Quote Detail Name,,,,
Quote Id,Quote Id,,,,
Quote Id Entity Type,Quote Id Entity Type,,,,
Quote Id Name,Quote Id Name,,,,
Quote Number,Quote Number,,,,
Quote Prefix,Quote Prefix,,,,
Quote State Code,Quote State Code,,,,
Rank,Rank,,,,
Rating,Rating,,,,
Rating Count,Rating Count,,,,
Rating Date,Rating Date,,,,
Rating State,Rating State,,,,
Rating Sum,Rating Sum,,,,
Read Privilege Depth,Read Privilege Depth,,,,
Read Receipt Requested,Read Receipt Requested,,,,
Ready For Review,Ready For Review,,,,
Reason,Reason,,,,
Received On,Received On,,,,
Receiving Postponed Until,Receiving Postponed Until,,,,
Receiving Postponed Until Foract,Receiving Postponed Until Foract,,,,
Recipients Grid,Recipients Grid,,,,
Record 1 Id,Record 1 Id,,,,
Record 1 Id Entity Type,Record 1 Id Entity Type,,,,
Record 1 Id Name,Record 1 Id Name,,,,
Record 1 Id Object Type Code,Record 1 Id Object Type Code,,,,
Record 1 Object Type Code,Record 1 Object Type Code,,,,
Record 1 Role Id,Record 1 Role Id,,,,
Record 1 Role Id Entity Type,Record 1 Role Id Entity Type,,,,
Record 1 Role Id Name,Record 1 Role Id Name,,,,
Record 2 Id,Record 2 Id,,,,
Record 2 Id Entity Type,Record 2 Id Entity Type,,,,
Record 2 Id Name,Record 2 Id Name,,,,
Record 2 Id Object Type Code,Record 2 Id Object Type Code,,,,
Record 2 Object Type Code,Record 2 Object Type Code,,,,
Record 2 Role Id,Record 2 Role Id,,,,
Record 2 Role Id Entity Type,Record 2 Role Id Entity Type,,,,
Record 2 Role Id Name,Record 2 Role Id Name,,,,
Record Distribution Criteria,Record Distribution Criteria,,,,
Record Id,Record Id,,,,
Record Id Entity Type,Record Id Entity Type,,,,
Record Id Name,Record Id Name,,,,
Record Id Object Type Code,Record Id Object Type Code,,,,
Record Id Object Type Code 2,Record Id Object Type Code 2,,,,
Records Owned By Me,Records Owned By Me,,,,
Records Owned By My Business Unit,Records Owned By My Business Unit,,,,
Records Owned By My Team,Records Owned By My Team,,,,
Recurrencedefault Number Of Occur Rences,Recurrencedefault Number Of Occur Rences,,,,
Recurrence Expansion Job Batch Interval,Recurrence Expansion Job Batch Interval,,,,
Recurrence Expansion Job Batch Size,Recurrence Expansion Job Batch Size,,,,
Recurrence Expansion Synch Create Max,Recurrence Expansion Synch Create Max,,,,
Recurrence Pattern Type,Recurrence Pattern Type,,,,
Referenced Attribute,Referenced Attribute,,,,
Referenced Entity,Referenced Entity,,,,
Reference Info Url,Reference Info Url,,,,
Reference Site Map Xml,Reference Site Map Xml,,,,
Reference Tokens,Reference Tokens,,,,
Referrer,Referrer,,,,
Referring Host,Referring Host,,,,
Regarding,Regarding,,,,
Regarding Entity Type,Regarding Entity Type,,,,
Regarding Id Name,Regarding Id Name,,,,
Regarding Name,Regarding Name,,,,
Regarding Object Id,Regarding Object Id,,,,
Regarding Object Id Entity Type,Regarding Object Id Entity Type,,,,
Regarding Object Id Dsc,Regarding Object Id Dsc,,,,
Regarding Object Id Name,Regarding Object Id Name,,,,
Regarding Object Id Yomi Name,Regarding Object Id Yomi Name,,,,
Regarding Object Type Code,Regarding Object Type Code,,,,
Regarding Yomi Name,Regarding Yomi Name,,,,
Registrations,Registrations,,,,
Related Connection Id,Related Connection Id,,,,
Related Connection Id Entity Type,Related Connection Id Entity Type,,,,
Related Object Id,Related Object Id,,,,
Related Object Id Entity Type,Related Object Id Entity Type,,,,
Related Object Id Name,Related Object Id Name,,,,
Relationship Data,Relationship Data,,,,
Relationship Display Name,Relationship Display Name,,,,
Relationship Id,Relationship Id,,,,
Relationship Name,Relationship Name,,,,
Remaining Terms,Remaining Terms,,,,
Reminder Action Card Id,Reminder Action Card Id,,,,
Renderer Object Type Code,Renderer Object Type Code,,,,
Render Secure Iframe For Email,Render Secure Iframe For Email,,,,
Reply Count,Reply Count,,,,
Reply To,Reply To,,,,
Reported Revenue,Reported Revenue,,,,
Reported Revenue Base,Reported Revenue Base,,,,
Reporting Group Id,Reporting Group Id,,,,
Reporting Group Name,Reporting Group Name,,,,
Reporting Quarter,Reporting Quarter,,,,
Reporting Year,Reporting Year,,,,
Report Script Errors,Report Script Errors,,,,
Request Data,Request Data,,,,
Request Delivery By,Request Delivery By,,,,
Require Approval For Queue Email,Require Approval For Queue Email,,,,
Require Approval For User Email,Require Approval For User Email,,,,
Required Attendees,Required Attendees,,,,
Required Count,Required Count,,,,
Resolve By,Resolve By,,,,
Resolve By Kpi Id,Resolve By Kpi Id,,,,
Resolve By Kpi Id Entity Type,Resolve By Kpi Id Entity Type,,,,
Resolve By Kpi Id Name,Resolve By Kpi Id Name,,,,
Resolve Bys Last At Us,Resolve Bys Last At Us,,,,
Resolve Feedback,Resolve Feedback,,,,
Resolve Similar Unresolved Email Address,Resolve Similar Unresolved Email Address,,,,
Resource Booking Exchange Sync Version,Resource Booking Exchange Sync Version,,,,
Resource Id,Resource Id,,,,
Resources,Resources,,,,
Resource Spec Id,Resource Spec Id,,,,
Resource Spec Id Entity Type,Resource Spec Id Entity Type,,,,
Resource Spec Id Name,Resource Spec Id Name,,,,
Response By,Response By,,,,
Response Code,Response Code,,,,
Responsible Contact Id,Responsible Contact Id,,,,
Responsible Contact Id Entity Type,Responsible Contact Id Entity Type,,,,
Responsible Contact Id Name,Responsible Contact Id Name,,,,
Responsible Contact Id Yomi Name,Responsible Contact Id Yomi Name,,,,
Restrict Case Creation,Restrict Case Creation,,,,
Restrict Status Update,Restrict Status Update,,,,
Retired Order,Retired Order,,,,
Returned Type Code,Returned Type Code,,,,
Revenue,Revenue,,,,
Revenue Base,Revenue Base,,,,
Review,Review,,,,
Revision Number,Revision Number,,,,
Ri Error Status,Ri Error Status,,,,
Role Id,Role Id,,,,
Role Id Entity Type,Role Id Entity Type,,,,
Role Id Name,Role Id Name,,,,
Role Id Unique,Role Id Unique,,,,
Role Privilege Id,Role Privilege Id,,,,
Role Privilege Id Unique,Role Privilege Id Unique,,,,
Role Template Id,Role Template Id,,,,
Role Template Id Entity Type,Role Template Id Entity Type,,,,
Rollup Error Code,Rollup Error Code,,,,
Rollup Only From Child Goals,Rollup Only From Child Goals,,,,
Rollup Query Actual Decimal Id,Rollup Query Actual Decimal Id,,,,
Rollup Query Actual Decimal Id Entity Type,Rollup Query Actual Decimal Id Entity Type,,,,
Rollup Query Actual Decimal Id Name,Rollup Query Actual Decimal Id Name,,,,
Rollup Query Actual Integer Id,Rollup Query Actual Integer Id,,,,
Rollup Query Actual Integer Id Entity Type,Rollup Query Actual Integer Id Entity Type,,,,
Rollup Query Actual Integer Id Name,Rollup Query Actual Integer Id Name,,,,
Rollup Query Actual Money Id,Rollup Query Actual Money Id,,,,
Rollup Query Actual Money Id Entity Type,Rollup Query Actual Money Id Entity Type,,,,
Rollup Query Actual Money Id Name,Rollup Query Actual Money Id Name,,,,
Rollup Query Custom Decimal Id,Rollup Query Custom Decimal Id,,,,
Rollup Query Custom Decimal Id Entity Type,Rollup Query Custom Decimal Id Entity Type,,,,
Rollup Query Custom Decimal Id Name,Rollup Query Custom Decimal Id Name,,,,
Rollup Query Custom Integer Id,Rollup Query Custom Integer Id,,,,
Rollup Query Custom Integer Id Entity Type,Rollup Query Custom Integer Id Entity Type,,,,
Rollup Query Custom Integer Id Name,Rollup Query Custom Integer Id Name,,,,
Rollup Query Custom Money Id,Rollup Query Custom Money Id,,,,
Rollup Query Custom Money Id Entity Type,Rollup Query Custom Money Id Entity Type,,,,
Rollup Query Custom Money Id Name,Rollup Query Custom Money Id Name,,,,
Rollup Query In Progress Decimal Id,Rollup Query In Progress Decimal Id,,,,
Rollup Query In Progress Decimal Id Entity Type,Rollup Query In Progress Decimal Id Entity Type,,,,
Rollup Query In Progress Decimal Id Name,Rollup Query In Progress Decimal Id Name,,,,
Rollup Query In Progress Integer Id,Rollup Query In Progress Integer Id,,,,
Rollup Query In Progress Integer Id Entity Type,Rollup Query In Progress Integer Id Entity Type,,,,
Rollup Query In Progress Integer Id Name,Rollup Query In Progress Integer Id Name,,,,
Rollup Query In Progress Money Id,Rollup Query In Progress Money Id,,,,
Rollup Query In Progress Money Id Entity Type,Rollup Query In Progress Money Id Entity Type,,,,
Rollup Query In Progress Money Id Name,Rollup Query In Progress Money Id Name,,,,
Root Article Id,Root Article Id,,,,
Root Article Id Entity Type,Root Article Id Entity Type,,,,
Root Article Id Name,Root Article Id Name,,,,
Rounding Option Amount,Rounding Option Amount,,,,
Rounding Option Amount Base,Rounding Option Amount Base,,,,
Rounding Option Code,Rounding Option Code,,,,
Rounding Policy Code,Rounding Policy Code,,,,
Route Case,Route Case,,,,
Rule Id,Rule Id,,,,
Rule Id Entity Type,Rule Id Entity Type,,,,
Run As,Run As,,,,
Safe Description,Safe Description,,,,
Sage Country Id,Sage Country Id,,,,
Sage Cust Class Key,Sage Cust Class Key,,,,
Sage Item Key,Sage Item Key,,,,
Sales Literature Id,Sales Literature Id,,,,
Sales Literature Id Entity Type,Sales Literature Id Entity Type,,,,
Sales Literature Item Id,Sales Literature Item Id,,,,
Sales Order Detail Id,Sales Order Detail Id,,,,
Sales Order Detail Id Entity Type,Sales Order Detail Id Entity Type,,,,
Sales Order Detail Id Name,Sales Order Detail Id Name,,,,
Sales Order Detail Name,Sales Order Detail Name,,,,
Sales Order Id,Sales Order Id,,,,
Sales Order Id Entity Type,Sales Order Id Entity Type,,,,
Sales Order Id Name,Sales Order Id Name,,,,
Sales Order Is Price Locked,Sales Order Is Price Locked,,,,
Sales Order State Code,Sales Order State Code,,,,
Sales Rep Id,Sales Rep Id,,,,
Sales Rep Id Entity Type,Sales Rep Id Entity Type,,,,
Sales Rep Id Name,Sales Rep Id Name,,,,
Sales Rep Id Yomi Name,Sales Rep Id Yomi Name,,,,
Sales Stage,Sales Stage,,,,
Sales Stage Code,Sales Stage Code,,,,
Sale Type Jt,Sale Type Jt,,,,
Salutation,Salutation,,,,
Same Site,Same Site,,,,
Sample Data Import Id,Sample Data Import Id,,,,
Saved Query Id,Saved Query Id,,,,
Saved Query Id Unique,Saved Query Id Unique,,,,
Scheduled Duration Minutes,Scheduled Duration Minutes,,,,
Scheduled End,Scheduled End,,,,
Scheduled Start,Scheduled Start,,,,
Scheduled Status Id,Scheduled Status Id,,,,
Schedule Follow Up Prospect,Schedule Follow Up Prospect,,,,
Schedule Follow Up Qualify,Schedule Follow Up Qualify,,,,
Schedule Proposal Meeting,Schedule Proposal Meeting,,,,
Scheduling Engine,Scheduling Engine,,,,
Schema Name Prefix,Schema Name Prefix,,,,
Scope,Scope,,,,
Score,Score,,,,
Sdk Message Id,Sdk Message Id,,,,
Sdk Message Id Entity Type,Sdk Message Id Entity Type,,,,
Select Automatically,Select Automatically,,,,
Selected Entity Metadata,Selected Entity Metadata,,,,
Selected Entity Type Code,Selected Entity Type Code,,,,
Selected Global Filter Id,Selected Global Filter Id,,,,
Selected Relation Ships Schema,Selected Relation Ships Schema,,,,
Sender,Sender,,,,
Sender Mailbox Id,Sender Mailbox Id,,,,
Sender Mailbox Id Entity Type,Sender Mailbox Id Entity Type,,,,
Sender Mailbox Id Name,Sender Mailbox Id Name,,,,
Senders Account,Senders Account,,,,
Senders Account Entity Type,Senders Account Entity Type,,,,
Senders Account Name,Senders Account Name,,,,
Senders Account Object Type Code,Senders Account Object Type Code,,,,
Sendersaccounty Omi Name,Sendersaccounty Omi Name,,,,
Send On,Send On,,,,
Send Thank You Note,Send Thank You Note,,,,
Sent Email Id,Sent Email Id,,,,
Sentiment Value,Sentiment Value,,,,
Sent On,Sent On,,,,
Sequence Number,Sequence Number,,,,
Series Id,Series Id,,,,
Series Status,Series Status,,,,
Serve Static Resources From Azure Cdn,Serve Static Resources From Azure Cdn,,,,
Service Address,Service Address,,,,
Service Address Entity Type,Service Address Entity Type,,,,
Service Address Name,Service Address Name,,,,
Service Contract Contact Id,Service Contract Contact Id,,,,
Service Id,Service Id,,,,
Service Id Entity Type,Service Id Entity Type,,,,
Service Id Name,Service Id Name,,,,
Service Level,Service Level,,,,
Service Stage,Service Stage,,,,
Session Timeout Enabled,Session Timeout Enabled,,,,
Session Timeout In Mins,Session Timeout In Mins,,,,
Session Timeout Reminder In Mins,Session Timeout Reminder In Mins,,,,
Set Category Associations,Set Category Associations,,,,
Set Product Associations,Set Product Associations,,,,
Setup User,Setup User,,,,
Severity Code,Severity Code,,,,
Sharepoint Deployment Type,Sharepoint Deployment Type,,,,
Sharepoint Email Address,Sharepoint Email Address,,,,
Shares Outstanding,Shares Outstanding,,,,
Share To Previous Owner On Assign,Share To Previous Owner On Assign,,,,
Shipping Method,Shipping Method,,,,
Shipping Method Code,Shipping Method Code,,,,
Shipping Tracking Number,Shipping Tracking Number,,,,
Ship To Address Id,Ship To Address Id,,,,
Ship To City,Ship To City,,,,
Ship To Composite,Ship To Composite,,,,
Ship To Contact Name,Ship To Contact Name,,,,
Ship To Country,Ship To Country,,,,
Ship To Fax,Ship To Fax,,,,
Ship To Freight Terms Code,Ship To Freight Terms Code,,,,
Ship To Line 1,Ship To Line 1,,,,
Ship To Line 2,Ship To Line 2,,,,
Ship To Line 3,Ship To Line 3,,,,
Ship To Name,Ship To Name,,,,
Ship To Postal Code,Ship To Postal Code,,,,
Ship To State Or Province,Ship To State Or Province,,,,
Ship To Telephone,Ship To Telephone,,,,
Show Kb Article Deprecation Notification,Show Kb Article Deprecation Notification,,,,
Show Resources,Show Resources,,,,
Show Week Number,Show Week Number,,,,
Sic,Sic,,,,
Signup Outlook Download Fw Link,Signup Outlook Download Fw Link,,,,
Sink Created On,Sink Created On,,,,
Sink Delete Time,Sink Delete Time,,,,
Sink Modified On,Sink Modified On,,,,
Site Id,Site Id,,,,
Site Id Entity Type,Site Id Entity Type,,,,
Site Id Name,Site Id Name,,,,
Site Map Xml,Site Map Xml,,,,
Size,Size,,,,
Skills,Skills,,,,
Sla Id,Sla Id,,,,
Sla Id Entity Type,Sla Id Entity Type,,,,
Sla Id Name,Sla Id Name,,,,
Sla Invoked Id,Sla Invoked Id,,,,
Sla Invoked Id Entity Type,Sla Invoked Id Entity Type,,,,
Sla Invoked Id Name,Sla Invoked Id Name,,,,
Sla Kpi Instance Id,Sla Kpi Instance Id,,,,
Sla Name,Sla Name,,,,
Sla Pause States,Sla Pause States,,,,
Social Additional Params,Social Additional Params,,,,
Social Insights Enabled,Social Insights Enabled,,,,
Social Insights Instance,Social Insights Instance,,,,
Social Insights Terms Accepted,Social Insights Terms Accepted,,,,
Social Profile Id,Social Profile Id,,,,
Social Profile Id Entity Type,Social Profile Id Entity Type,,,,
Social Profile Id Name,Social Profile Id Name,,,,
Solution Id,Solution Id,,,,
Solution Name,Solution Name,,,,
Sort Date,Sort Date,,,,
Sort Id,Sort Id,,,,
Source,Source,,,,
Source Attribute Name,Source Attribute Name,,,,
Source Entity Name,Source Entity Name,,,,
Spam Count,Spam Count,,,,
Split Size,Split Size,,,,
Split Strategy,Split Strategy,,,,
Split View State,Split View State,,,,
Spouses Name,Spouses Name,,,,
Sql Access Group Id,Sql Access Group Id,,,,
Sql Access Group Name,Sql Access Group Name,,,,
Sqm Enabled,Sqm Enabled,,,,
Stage Id,Stage Id,,,,
Standard Bias,Standard Bias,,,,
Standard Cost,Standard Cost,,,,
Standard Cost Base,Standard Cost Base,,,,
Standard Day,Standard Day,,,,
Standard Day Of Week,Standard Day Of Week,,,,
Standard Hour,Standard Hour,,,,
Standard Minute,Standard Minute,,,,
Standard Month,Standard Month,,,,
Standard Name,Standard Name,,,,
Standard Second,Standard Second,,,,
Standard Year,Standard Year,,,,
Start Date,Start Date,,,,
Started On,Started On,,,,
Start Time,Start Time,,,,
State,State,,,,
State Code,State Code,,,,
State Or Province,State Or Province,,,,
Status,Status,,,,
Status Code,Status Code,,,,
Status Message,Status Message,,,,
Step Id,Step Id,,,,
Step Name,Step Name,,,,
Stock Exchange,Stock Exchange,,,,
Stock Volume,Stock Volume,,,,
Stock Weight,Stock Weight,,,,
Storage Point Er,Storage Point Er,,,,
Strategy Id,Strategy Id,,,,
Strategy Id Entity Type,Strategy Id Entity Type,,,,
Strengths,Strengths,,,,
Stretch Target Decimal,Stretch Target Decimal,,,,
Stretch Target Integer,Stretch Target Integer,,,,
Stretch Target Money,Stretch Target Money,,,,
Stretch Target Money Base,Stretch Target Money Base,,,,
Stretch Target String,Stretch Target String,,,,
Sub Category,Sub Category,,,,
Subject,Subject,,,,
Subject Id,Subject Id,,,,
Subject Id Entity Type,Subject Id Entity Type,,,,
Subject Id Dsc,Subject Id Dsc,,,,
Subject Id Name,Subject Id Name,,,,
Submit Date,Submit Date,,,,
Submit Status,Submit Status,,,,
Submit Status Description,Submit Status Description,,,,
Submitted By,Submitted By,,,,
Sub Process,Sub Process,,,,
Subscription Id,Subscription Id,,,,
Subscription List Id,Subscription List Id,,,,
Subscription Preference Id,Subscription Preference Id,,,,
Succeeded On,Succeeded On,,,,
Success,Success,,,,
Success Uri,Success Uri,,,,
Suffix,Suffix,,,,
Supplier Name,Supplier Name,,,,
Supporting Solution Id,Supporting Solution Id,,,,
Support User Id,Support User Id,,,,
Suppress Sla,Suppress Sla,,,,
Survey Answer Id,Survey Answer Id,,,,
Survey Question Id,Survey Question Id,,,,
Sync Bulk Operation Batch Size,Sync Bulk Operation Batch Size,,,,
Sync Bulk Operation Max Limit,Sync Bulk Operation Max Limit,,,,
Sync Contact Company,Sync Contact Company,,,,
Sync Error Id,Sync Error Id,,,,
Sync Opt Ins Election,Sync Opt Ins Election,,,,
Sync Opt Ins Election Status,Sync Opt Ins Election Status,,,,
Sync Workflow Logon Failure,Sync Workflow Logon Failure,,,,
System Managed,System Managed,,,,
System User Business Unit Entity Map Id,System User Business Unit Entity Map Id,,,,
System User Id,System User Id,,,,
System User Manager Map Id,System User Manager Map Id,,,,
System User Principal Id,System User Principal Id,,,,
System User Profile Id,System User Profile Id,,,,
System User Role Id,System User Role Id,,,,
Tag Max Aggressive Cycles,Tag Max Aggressive Cycles,,,,
Tag Polling Period,Tag Polling Period,,,,
Tags,Tags,,,,
Target Attribute Name,Target Attribute Name,,,,
Target Decimal,Target Decimal,,,,
Target Entity Name,Target Entity Name,,,,
Target Integer,Target Integer,,,,
Target Money,Target Money,,,,
Target Money Base,Target Money Base,,,,
Target String,Target String,,,,
Task Based Flow Enabled,Task Based Flow Enabled,,,,
Tax,Tax,,,,
Tax Base,Tax Base,,,,
Team Id,Team Id,,,,
Team Member Ship Id,Team Member Ship Id,,,,
Team Profile Id,Team Profile Id,,,,
Team Role Id,Team Role Id,,,,
Teams Followed,Teams Followed,,,,
Team Template Id,Team Template Id,,,,
Team Template Id Entity Type,Team Template Id Entity Type,,,,
Team Type,Team Type,,,,
Telephone,Telephone,,,,
Telephone 1,Telephone 1,,,,
Telephone 2,Telephone 2,,,,
Telephone 3,Telephone 3,,,,
Template Id,Template Id,,,,
Template Id Entity Type,Template Id Entity Type,,,,
Template Id Name,Template Id Name,,,,
Territory Code,Territory Code,,,,
Territory Id,Territory Id,,,,
Territory Id Entity Type,Territory Id Entity Type,,,,
Territory Id Name,Territory Id Name,,,,
Test Email Configuration Retry Count,Test Email Configuration Retry Count,,,,
Test Email Configuration Scheduled,Test Email Configuration Scheduled,,,,
Test Mailbox Access Completed On,Test Mailbox Access Completed On,,,,
Text Analytics Enabled,Text Analytics Enabled,,,,
Thread Id,Thread Id,,,,
Threats,Threats,,,,
Throttle Send,Throttle Send,,,,
Ticker Symbol,Ticker Symbol,,,,
Ticket Number,Ticket Number,,,,
Time,Time,,,,
Time Format Code,Time Format Code,,,,
Time Format String,Time Format String,,,,
Timeline,Timeline,,,,
Time Separator,Time Separator,,,,
Time Spent By Me On Email And Meetings,Time Spent By Me On Email And Meetings,,,,
Time Stamp,Time Stamp,,,,
Time Zone Bias,Time Zone Bias,,,,
Time Zone Code,Time Zone Code,,,,
Time Zone Day Light Bias,Time Zone Day Light Bias,,,,
Time Zone Day Light Day,Time Zone Day Light Day,,,,
Time Zone Day Light Day Of Week,Time Zone Day Light Day Of Week,,,,
Time Zone Day Light Hour,Time Zone Day Light Hour,,,,
Time Zone Day Light Minute,Time Zone Day Light Minute,,,,
Time Zone Day Light Month,Time Zone Day Light Month,,,,
Time Zone Day Light Second,Time Zone Day Light Second,,,,
Time Zone Day Light Year,Time Zone Day Light Year,,,,
Time Zone Definition Id,Time Zone Definition Id,,,,
Time Zone Definition Id Entity Type,Time Zone Definition Id Entity Type,,,,
Time Zone Rule Id,Time Zone Rule Id,,,,
Time Zone Rule Version Number,Time Zone Rule Version Number,,,,
Time Zone Standard Bias,Time Zone Standard Bias,,,,
Time Zone Standard Day,Time Zone Standard Day,,,,
Time Zone Standard Day Of Week,Time Zone Standard Day Of Week,,,,
Time Zone Standard Hour,Time Zone Standard Hour,,,,
Time Zone Standard Minute,Time Zone Standard Minute,,,,
Time Zone Standard Month,Time Zone Standard Month,,,,
Time Zone Standard Second,Time Zone Standard Second,,,,
Time Zone Standard Year,Time Zone Standard Year,,,,
Title,Title,,,,
To,To,,,,
To Email,To Email,,,,
Token Expiry,Token Expiry,,,,
Token Key,Token Key,,,,
To Recipients,To Recipients,,,,
Total Actual Cost,Total Actual Cost,,,,
Total Actual Cost Base,Total Actual Cost Base,,,,
Total Amount,Total Amount,,,,
Total Amount Base,Total Amount Base,,,,
Total Amount Less Freight,Total Amount Less Freight,,,,
Total Amount Less Freight Base,Total Amount Less Freight Base,,,,
Total Campaign Activity Actual Cost,Total Campaign Activity Actual Cost,,,,
Total Campaign Activity Actual Cost Base,Total Campaign Activity Actual Cost Base,,,,
Total Discount,Total Discount,,,,
Total Discount Base,Total Discount Base,,,,
Total Discount Amount,Total Discount Amount,,,,
Total Discount Amount Base,Total Discount Amount Base,,,,
Total Line Item Amount,Total Line Item Amount,,,,
Total Line Item Amount Base,Total Line Item Amount Base,,,,
Total Line Item Discount Amount,Total Line Item Discount Amount,,,,
Total Line Item Discount Amount Base,Total Line Item Discount Amount Base,,,,
Total Pages,Total Pages,,,,
Total Price,Total Price,,,,
Total Price Base,Total Price Base,,,,
Total Tax,Total Tax,,,,
Total Tax Base,Total Tax Base,,,,
Total Terms,Total Terms,,,,
Tracking Prefix,Tracking Prefix,,,,
Tracking Token,Tracking Token,,,,
Tracking Token Id,Tracking Token Id,,,,
Tracking Token Id Base,Tracking Token Id Base,,,,
Tracking Token Id Digits,Tracking Token Id Digits,,,,
Transaction Currency Id,Transaction Currency Id,,,,
Transaction Currency Id Entity Type,Transaction Currency Id Entity Type,,,,
Transaction Currency Id Name,Transaction Currency Id Name,,,,
Transient Failure Count,Transient Failure Count,,,,
Traversed Path,Traversed Path,,,,
Tree Id,Tree Id,,,,
